Region,Organ,Recipient Age,Years Post Transplant,Number Functioning / Alive,Survival Rate,95% Confidence Interval
U.S.,Kidney,< 1 Year,5 Year,6,*,"(., .)"
U.S.,Kidney,1-5 Years,5 Year,528,87.7,"(84.8, 90.0)"
U.S.,Kidney,6-10 Years,5 Year,484,88,"(85.0, 90.4)"
U.S.,Kidney,11-17 Years,5 Year,1270,78.3,"(76.3, 80.2)"
U.S.,Kidney,18-34 Years,5 Year,6044,79.5,"(78.6, 80.3)"
U.S.,Kidney,35-49 Years,5 Year,13359,83,"(82.4, 83.5)"
U.S.,Kidney,50-64 Years,5 Year,18907,78.3,"(77.8, 78.8)"
U.S.,Kidney,65 +,5 Year,7020,69.7,"(68.8, 70.6)"
U.S.,Kidney / Pancreas,6-10 Years,1 Year,3,*,"(., .)"
U.S.,Kidney / Pancreas,11-17 Years,1 Year,3,*,"(., .)"
U.S.,Kidney / Pancreas,18-34 Years,1 Year,675,95.6,"(93.8, 96.9)"
U.S.,Kidney / Pancreas,35-49 Years,1 Year,1559,96,"(94.9, 96.9)"
U.S.,Kidney / Pancreas,50-64 Years,1 Year,608,95.4,"(93.5, 96.8)"
U.S.,Kidney / Pancreas,65 +,1 Year,3,*,"(., .)"
U.S.,Kidney / Pancreas,1-5 Years,3 Year,1,*,"(., .)"
U.S.,Kidney / Pancreas,6-10 Years,3 Year,3,*,"(., .)"
U.S.,Kidney / Pancreas,11-17 Years,3 Year,4,*,"(., .)"
U.S.,Kidney / Pancreas,18-34 Years,3 Year,584,85.6,"(82.8, 88.0)"
U.S.,Kidney / Pancreas,35-49 Years,3 Year,1575,90,"(88.5, 91.3)"
U.S.,Kidney / Pancreas,50-64 Years,3 Year,604,92.1,"(89.8, 93.9)"
U.S.,Kidney / Pancreas,65 +,3 Year,5,*,"(., .)"
U.S.,Kidney / Pancreas,1-5 Years,5 Year,4,*,"(., .)"
U.S.,Kidney / Pancreas,6-10 Years,5 Year,2,*,"(., .)"
U.S.,Kidney / Pancreas,11-17 Years,5 Year,2,*,"(., .)"
U.S.,Kidney / Pancreas,18-34 Years,5 Year,489,75.4,"(72.0, 78.5)"
U.S.,Kidney / Pancreas,35-49 Years,5 Year,1473,82.5,"(80.7, 84.2)"
U.S.,Kidney / Pancreas,50-64 Years,5 Year,550,83.7,"(80.8, 86.3)"
U.S.,Kidney / Pancreas,65 +,5 Year,5,*,"(., .)"
U.S.,Liver,< 1 Year,1 Year,477,86.7,"(83.6, 89.3)"
U.S.,Liver,1-5 Years,1 Year,748,89,"(86.7, 90.9)"
U.S.,Liver,6-10 Years,1 Year,274,92.7,"(89.1, 95.1)"
U.S.,Liver,11-17 Years,1 Year,429,92.7,"(89.9, 94.7)"
U.S.,Liver,18-34 Years,1 Year,1298,90.9,"(89.3, 92.3)"
U.S.,Liver,35-49 Years,1 Year,3519,90.1,"(89.1, 91.0)"
U.S.,Liver,50-64 Years,1 Year,13170,89.1,"(88.6, 89.6)"
U.S.,Liver,65 +,1 Year,3492,86.6,"(85.5, 87.6)"
U.S.,Liver,< 1 Year,3 Year,495,83.3,"(80.1, 86.1)"
U.S.,Liver,1-5 Years,3 Year,656,83.7,"(80.9, 86.1)"
U.S.,Liver,6-10 Years,3 Year,245,86.6,"(82.1, 90.0)"
U.S.,Liver,11-17 Years,3 Year,393,88,"(84.6, 90.6)"
U.S.,Liver,18-34 Years,3 Year,1048,81.3,"(79.1, 83.3)"
U.S.,Liver,35-49 Years,3 Year,3115,82.1,"(80.8, 83.2)"
U.S.,Liver,50-64 Years,3 Year,11384,79.8,"(79.2, 80.5)"
U.S.,Liver,65 +,3 Year,2393,75.2,"(73.7, 76.7)"
U.S.,Liver,< 1 Year,5 Year,521,80,"(76.7, 82.8)"
U.S.,Liver,1-5 Years,5 Year,666,79,"(76.1, 81.5)"
U.S.,Liver,6-10 Years,5 Year,269,87.9,"(83.8, 91.1)"
U.S.,Liver,11-17 Years,5 Year,327,80.9,"(76.8, 84.4)"
U.S.,Liver,18-34 Years,5 Year,938,72.7,"(70.2, 75.0)"
U.S.,Liver,35-49 Years,5 Year,3018,75,"(73.7, 76.3)"
U.S.,Liver,50-64 Years,5 Year,9802,70.9,"(70.2, 71.7)"
U.S.,Liver,65 +,5 Year,1756,65.9,"(64.1, 67.6)"
U.S.,Lung,< 1 Year,1 Year,12,100,"(100.0, 100.0)"
U.S.,Lung,1-5 Years,1 Year,16,73.7,"(50.5, 87.2)"
U.S.,Lung,6-10 Years,1 Year,25,86.2,"(67.3, 94.6)"
U.S.,Lung,11-17 Years,1 Year,99,86.2,"(78.4, 91.3)"
U.S.,Lung,18-34 Years,1 Year,699,88.6,"(86.2, 90.6)"
U.S.,Lung,35-49 Years,1 Year,813,89.3,"(87.1, 91.1)"
U.S.,Lung,50-64 Years,1 Year,3150,87.7,"(86.6, 88.8)"
U.S.,Lung,65 +,1 Year,1808,83.3,"(81.7, 84.8)"
U.S.,Lung,< 1 Year,3 Year,12,66.7,"(40.4, 83.4)"
U.S.,Lung,1-5 Years,3 Year,14,64.3,"(41.0, 80.3)"
U.S.,Lung,6-10 Years,3 Year,25,75.8,"(57.3, 87.1)"
U.S.,Lung,11-17 Years,3 Year,70,60.1,"(50.7, 68.3)"
U.S.,Lung,18-34 Years,3 Year,536,66.8,"(63.4, 69.9)"
U.S.,Lung,35-49 Years,3 Year,674,73.9,"(70.9, 76.6)"
U.S.,Lung,50-64 Years,3 Year,2371,70.5,"(68.9, 72.0)"
U.S.,Lung,65 +,3 Year,1180,61.2,"(59.0, 63.3)"
U.S.,Lung,< 1 Year,5 Year,8,*,"(., .)"
U.S.,Lung,1-5 Years,5 Year,9,*,"(., .)"
U.S.,Lung,6-10 Years,5 Year,19,65.5,"(45.4, 79.7)"
U.S.,Lung,11-17 Years,5 Year,58,43.2,"(34.9, 51.3)"
U.S.,Lung,18-34 Years,5 Year,368,49.1,"(45.5, 52.6)"
U.S.,Lung,35-49 Years,5 Year,559,61,"(57.8, 64.1)"
U.S.,Lung,50-64 Years,5 Year,1772,55.2,"(53.5, 56.9)"
U.S.,Lung,65 +,5 Year,675,44,"(41.5, 46.4)"
U.S.,Pancreas,< 1 Year,1 Year,14,87.5,"(58.6, 96.7)"
U.S.,Pancreas,1-5 Years,1 Year,63,78.8,"(68.1, 86.2)"
U.S.,Pancreas,6-10 Years,1 Year,14,88.2,"(60.6, 96.9)"
U.S.,Pancreas,11-17 Years,1 Year,10,71.4,"(40.6, 88.2)"
U.S.,Pancreas,18-34 Years,1 Year,144,79.1,"(72.5, 84.3)"
U.S.,Pancreas,35-49 Years,1 Year,326,81.9,"(77.8, 85.4)"
U.S.,Pancreas,50-64 Years,1 Year,208,81.9,"(76.6, 86.1)"
U.S.,Pancreas,65 +,1 Year,5,*,"(., .)"
U.S.,Pancreas,< 1 Year,3 Year,14,63.6,"(40.3, 79.9)"
U.S.,Pancreas,1-5 Years,3 Year,43,69.4,"(56.3, 79.2)"
U.S.,Pancreas,6-10 Years,3 Year,8,*,"(., .)"
U.S.,Pancreas,11-17 Years,3 Year,10,62.5,"(34.9, 81.1)"
U.S.,Pancreas,18-34 Years,3 Year,117,59.1,"(52.0, 65.5)"
U.S.,Pancreas,35-49 Years,3 Year,362,72.1,"(68.0, 75.7)"
U.S.,Pancreas,50-64 Years,3 Year,214,75.4,"(70.1, 80.0)"
U.S.,Pancreas,65 +,3 Year,5,*,"(., .)"
U.S.,Pancreas,< 1 Year,5 Year,32,58.2,"(44.1, 69.9)"
U.S.,Pancreas,1-5 Years,5 Year,52,55.7,"(45.2, 65.0)"
U.S.,Pancreas,6-10 Years,5 Year,13,65,"(40.3, 81.5)"
U.S.,Pancreas,11-17 Years,5 Year,5,*,"(., .)"
U.S.,Pancreas,18-34 Years,5 Year,115,44.7,"(38.6, 50.5)"
U.S.,Pancreas,35-49 Years,5 Year,397,63,"(59.2, 66.6)"
U.S.,Pancreas,50-64 Years,5 Year,183,62,"(56.3, 67.2)"
U.S.,Pancreas,65 +,5 Year,2,*,"(., .)"
